drug_name,targets,max_clinical_stage,real_distance,z_score
AR9281,EPHX2,PHASE_2,0.0,-0.20412414523193148
REVAMILAST,PDE4B,PHASE_2,0.0,-0.20412414523193148
IVABRADINE HYDROCHLORIDE,HCN4,APPROVAL,0.0,-0.20412414523193148
AMINOPHYLLINE,PDE4B; PDE3A,APPROVAL,0.0,-0.20412414523193148
ROLIPRAM,PDE4B,PHASE_2,0.0,-0.1904453466268301
ENOXIMONE,PDE3A,APPROVAL,0.0,-0.1904453466268301
DROTAVERINE,PDE4B,APPROVAL,0.0,-0.1904453466268301
TOFIMILAST,PDE4B,PHASE_2,0.0,-0.1904453466268301
CILOMILAST,PDE4B,PHASE_3,0.0,-0.1904453466268301
GSK-256066,PDE4B,PHASE_2,0.0,-0.17586311452816475
ANAGRELIDE,PDE3A,APPROVAL,0.0,-0.17586311452816475
CILOSTAZOL,PDE3A,APPROVAL,0.0,-0.17586311452816475
PRALSETINIB,CCDC6,APPROVAL,0.0,-0.17586311452816475
SELPERCATINIB,CCDC6,APPROVAL,0.0,-0.17586311452816475
INAMRINONE,PDE3A,APPROVAL,0.0,-0.17586311452816475
FLAVOXATE,PDE4B,APPROVAL,0.0,-0.17586311452816475
AMLEXANOX,PDE4B,APPROVAL,0.0,-0.17586311452816475
MARIMASTAT,MMP3; MMP9; MME,PHASE_3,0.6666666666666666,-0.16245910832216437
HT-0712,PDE4B,PHASE_2,0.0,-0.16012815380508716
TETOMILAST,PDE4B,PHASE_3,0.0,-0.16012815380508716
EXAGAMGLOGENE AUTOTEMCEL,BCL11A,APPROVAL,0.0,-0.16012815380508716
APREMILAST,PDE4B,APPROVAL,0.0,-0.14285714285714288
GSK2256294,EPHX2,PHASE_2,0.0,-0.14285714285714288
ROFLUMILAST,PDE4B,APPROVAL,0.0,-0.14285714285714288
SETANAXIB,NOX4,PHASE_2,0.0,-0.14285714285714288
CTS-1027,MMP3; MMP9; MME,PHASE_2,0.6666666666666666,-0.14108362616070394
MILRINONE LACTATE,PDE3A,APPROVAL,0.0,-0.12340351046845907
LOTAMILAST,PDE4B,PHASE_2,0.0,-0.10050378152592122
CONBERCEPT,VEGFC; PGF; VEGFB,PHASE_3,0.6666666666666666,0.06864416578387497
JNJ-26483327,EGFR; LYN; SRC; FYN; ERBB4,PHASE_1,0.8,0.10926218682791808
ATN-161,ITGB1,PHASE_2,1.0,0.33333333333333326
TAS-115,KDR,PHASE_1,1.0,0.36047677154687613
CDP-484,IL1B,PHASE_1_2,1.0,0.3692744729379982
ANACETRAPIB,CETP,PHASE_3,1.0,0.3692744729379982
EVACETRAPIB,CETP,PHASE_3,1.0,0.3779644730092272
DALCETRAPIB,CETP,PHASE_3,1.0,0.3779644730092272
NATALIZUMAB,ITGB1,APPROVAL,1.0,0.3865556717425342
GEVOKIZUMAB,IL1B,PHASE_3,1.0,0.3865556717425342
RAMUCIRUMAB,KDR,APPROVAL,1.0,0.3950561531755324
OLPASIRAN,LPA,PHASE_3,1.0,0.3950561531755324
PELACARSEN,LPA,PHASE_3,1.0,0.3950561531755324
VOLOCIXIMAB,ITGB1,PHASE_2,1.0,0.3950561531755324
ROCACETRAPIB,CETP,PHASE_2,1.0,0.3950561531755324
REBIMASTAT,MMP9,PHASE_3,1.0,0.4034732923929645
RG-7594,ITGB1,PHASE_1,1.0,0.4034732923929645
FIRATEGRAST,ITGB1,PHASE_2,1.0,0.4118138454142283
LENERCEPT,TNF,PHASE_3,1.0,0.42008402520840304
SAR-260301,PIK3CB,PHASE_1,1.0,0.42008402520840304
KRN-633,KDR,PHASE_1,1.0,0.42008402520840304
IMATINIB MESYLATE,PDGFRB,APPROVAL,1.0,0.42008402520840304
L19TNFA,FN1,PHASE_1_2,1.0,0.42828956637154025
CYC-116,KDR,PHASE_1,1.0,0.42828956637154025
ABITUZUMAB,ITGB1,PHASE_2,1.0,0.4282895663715403
LUTIKIZUMAB,IL1B,PHASE_3,1.0,0.4282895663715403
IMATINIB,PDGFRB,APPROVAL,1.0,0.4282895663715403
CERDULATINIB,SYK,PHASE_2_3,1.0,0.4364357804719848
NERELIMOMAB,TNF,PHASE_3,1.0,0.4364357804719848
PRT-2607,SYK,PHASE_2,1.0,0.4364357804719848
HENATINIB,KDR,PHASE_1,1.0,0.43643578047198484
ERITORAN TETRASODIUM,TLR4,PHASE_3,1.0,0.43643578047198484
RILONACEPT,IL1B,APPROVAL,1.0,0.43643578047198484
TORCETRAPIB,CETP,PHASE_3,1.0,0.43643578047198495
SOVLEPLENIB,SYK,PHASE_3,1.0,0.43643578047198495
L19IL2,FN1,PHASE_3,1.0,0.4445276036638914
RIVOCERANIB,KDR,APPROVAL,1.0,0.4445276036638914
SEMAXANIB,KDR,PHASE_3,1.0,0.4445276036638914
RAF-265,KDR,PHASE_2,1.0,0.4445276036638914
R-112,SYK,IND,1.0,0.4445276036638915
ONERCEPT,TNF,PHASE_3,1.0,0.4445276036638915
OLINVACIMAB,KDR,PHASE_2,1.0,0.45256963785525184
LUCITANIB,KDR,PHASE_3,1.0,0.45256963785525184
OSI-930,KDR,PHASE_1,1.0,0.45256963785525184
ZD-4190,KDR,UNKNOWN,1.0,0.45256963785525184
OLOKIZUMAB,IL6,APPROVAL,1.0,0.45256963785525184
GSK-2636771,PIK3CB,PHASE_2,1.0,0.45256963785525184
PKI-179,PIK3CA,PHASE_1,1.0,0.45256963785525184
AZD-0424,SRC,PHASE_1,1.0,0.45256963785525184
LENVATINIB MESYLATE,KDR,APPROVAL,1.0,0.45256963785525184
4SC-203,KDR,PHASE_1,1.0,0.45256963785525184
BRIVANIB ALANINATE,KDR,PHASE_3,1.0,0.4525696378552519
BRIVANIB,KDR,PHASE_3,1.0,0.4605661864718384
ERITORAN,TLR4,PHASE_3,1.0,0.4605661864718384
GUSACITINIB,SYK,PHASE_2,1.0,0.4605661864718384
MIVAVOTINIB CITRATE,SYK,PHASE_2,1.0,0.4605661864718384
CRENOLANIB,PDGFRB,PHASE_3,1.0,0.4605661864718384
PEGSUNERCEPT,TNF,PHASE_2,1.0,0.4605661864718384
CABOZANTINIB,KDR,APPROVAL,1.0,0.46056618647183845
DUVELISIB,PIK3CD,APPROVAL,1.0,0.46056618647183845
ABBV-3373,TNF,PHASE_2,1.0,0.46852128566581835
OLEZARSEN,APOC3,APPROVAL,1.0,0.46852128566581835
TELBERMIN,KDR,PHASE_2,1.0,0.46852128566581835
FOSTAMATINIB,SYK,APPROVAL,1.0,0.46852128566581835
SERABELISIB,PIK3CA,PHASE_2,1.0,0.46852128566581835
LENVATINIB,KDR,APPROVAL,1.0,0.476438731665127
LANRAPLENIB,SYK,PHASE_2,1.0,0.476438731665127
AFELIMOMAB,TNF,APPROVAL,1.0,0.4764387316651271
ANDECALIXIMAB,MMP9,PHASE_3,1.0,0.4764387316651271
MIVAVOTINIB,SYK,PHASE_2,1.0,0.4764387316651271
FRUQUINTINIB,KDR,APPROVAL,1.0,0.48432210483785243
BAFETINIB,LYN,PHASE_2,1.0,0.48432210483785243
BECAPLERMIN,PDGFRB,APPROVAL,1.0,0.48432210483785243
GOLIMUMAB,TNF,APPROVAL,1.0,0.48432210483785243
RESATORVID,TLR4,PHASE_3,1.0,0.48432210483785243
INAVOLISIB,PIK3CA,APPROVAL,1.0,0.4843221048378525
VOLANESORSEN SODIUM,APOC3,PHASE_2,1.0,0.492174790948013
PACIBEKITUG,IL6,PHASE_2,1.0,0.49217479094801303
ZILTIVEKIMAB,IL6,PHASE_3,1.0,0.49217479094801303
REMTOLUMAB,TNF,PHASE_2,1.0,0.4921747909480131
BATOPROTAFIB,PTPN11,PHASE_1_2,1.0,0.4921747909480131
OSI-632,KDR,PHASE_2,1.0,0.4921747909480131
CAL-263,PIK3CD,PHASE_1,1.0,0.4921747909480131
CERTOLIZUMAB PEGOL,TNF,APPROVAL,1.0,0.4921747909480131
TOLIMIDONE,LYN,PHASE_2,1.0,0.4999999999999999
RADRETUMAB,FN1,PHASE_2,1.0,0.4999999999999999
NINGETINIB,KDR,PHASE_2,1.0,0.5078007830046402
CEP-11981,KDR,PHASE_2,1.0,0.5078007830046402
CABOZANTINIB S-MALATE,KDR,APPROVAL,1.0,0.5078007830046402
RINUCUMAB,PDGFRB,PHASE_2,1.0,0.5078007830046402
SIRUKUMAB,IL6,APPROVAL,1.0,0.5078007830046402
AXITINIB,KDR,APPROVAL,1.0,0.5078007830046403
PEGDINETANIB,KDR,PHASE_2,1.0,0.5078007830046403
IDELALISIB,PIK3CD,APPROVAL,1.0,0.5155800469472479
BFH-772,KDR,PHASE_2,1.0,0.5155800469472479
ALPELISIB,PIK3CA,APPROVAL,1.0,0.5155800469472479
ELX-02,RPS27A,PHASE_2,1.0,0.515580046947248
RIVOCERANIB MESYLATE,KDR,APPROVAL,1.0,0.515580046947248
TIRBANIBULIN,SRC,APPROVAL,1.0,0.515580046947248
PREXIGEBERSEN,GRB2,PHASE_2,1.0,0.515580046947248
PLACULUMAB,TNF,PHASE_2,1.0,0.515580046947248
OCRIPLASMIN,FN1,APPROVAL,1.0,0.5155800469472481
ADALIMUMAB,TNF,APPROVAL,1.0,0.5233405681948144
VOLANESORSEN,APOC3,APPROVAL,1.0,0.5233405681948144
R-348,SYK,PHASE_1,1.0,0.5233405681948144
PF-00337210,KDR,PHASE_1,1.0,0.5233405681948144
INFLIXIMAB,TNF,APPROVAL,1.0,0.5233405681948144
DANVATIRSEN,STAT3,PHASE_2,1.0,0.5233405681948144
ALACIZUMAB PEGOL,KDR,PHASE_2,1.0,0.5310850045437941
ACALISIB,PIK3CD,PHASE_1,1.0,0.5310850045437941
CDP-860,PDGFRB,PHASE_2,1.0,0.5310850045437941
IMC-1C11,KDR,PHASE_1,1.0,0.5310850045437943
TANDUTINIB,PDGFRB,PHASE_2,1.0,0.5388159060803246
FOSTAMATINIB DISODIUM,SYK,APPROVAL,1.0,0.5388159060803247
SILTUXIMAB,IL6,APPROVAL,1.0,0.5388159060803247
SURUFATINIB,KDR,APPROVAL,1.0,0.5388159060803247
GOLVATINIB,KDR,PHASE_1_2,1.0,0.5388159060803247
OZORALIZUMAB,TNF,APPROVAL,1.0,0.546535725000021
CEP-5214,KDR,UNKNOWN,1.0,0.546535725000021
AS-1409,FN1,PHASE_1,1.0,0.5542468245138262
R-333,SYK,PHASE_2,1.0,0.5542468245138262
ENTOSPLETINIB,SYK,PHASE_3,1.0,0.5542468245138262
R-406,SYK,UNKNOWN,1.0,0.5542468245138262
IBCASERTIB,KDR,PHASE_3,1.0,0.5542468245138262
PROPANIDID,ACHE,UNKNOWN,1.0,0.5542468245138262
ALTIRATINIB,KDR,PHASE_1,1.0,0.5542468245138262
CEP-2563,PDGFRB,PHASE_1,1.0,0.5542468245138262
R-343,SYK,PHASE_2,1.0,0.5542468245138262
TG100-115,PIK3CD,PHASE_1_2,1.0,0.5619514869490164
ENLIMOMAB PEGOL,ICAM1,IND,1.0,0.5619514869490164
CLAZAKIZUMAB,IL6,PHASE_3,1.0,0.5619514869490164
SELETALISIB,PIK3CD,PHASE_2,1.0,0.5619514869490164
GLESATINIB,KDR,PHASE_2,1.0,0.5696519211398116
PARSACLISIB,PIK3CD,APPROVAL,1.0,0.5696519211398116
UMBRALISIB TOSYLATE,PIK3CD,APPROVAL,1.0,0.5696519211398116
SCH-708980,IL10,PHASE_1_2,1.0,0.5696519211398116
BMS-817378,KDR,PHASE_1,1.0,0.5696519211398116
ATALUREN,RPS27A,APPROVAL,1.0,0.5696519211398116
BI-505,ICAM1,PHASE_2,1.0,0.5773502691896258
LENIOLISIB PHOSPHATE,PIK3CD,APPROVAL,1.0,0.5773502691896258
MT-3724,RPS27A,PHASE_2,1.0,0.5773502691896258
BEMARITUZUMAB,FCGR3A,PHASE_3,1.0,0.5773502691896258
ZANDELISIB,PIK3CD,PHASE_3,1.0,0.5773502691896258
UMBRALISIB,PIK3CD,APPROVAL,1.0,0.5850486126764433
TENALISIB,PIK3CD,PHASE_2,1.0,0.5850486126764433
DEMECARIUM,ACHE,APPROVAL,1.0,0.5850486126764433
NEMIRALISIB,PIK3CD,PHASE_2,1.0,0.5850486126764433
AMG-319,PIK3CD,PHASE_2,1.0,0.5850486126764433
ALPIDEM,DBI,APPROVAL,1.0,0.5927489783638191
CITATUZUMAB BOGATOX,RPS27A,PHASE_1,1.0,0.6004533434723092
ALICAFORSEN,ICAM1,PHASE_3,1.0,0.6004533434723092
DUVELISIB MONOHYDRATE,PIK3CD,APPROVAL,1.0,0.6004533434723092
GSK-2269557,PIK3CD,PHASE_2,1.0,0.6004533434723092
DEFIBROTIDE,PLG,APPROVAL,1.0,0.6081636405595373
DEFIBROTIDE SODIUM,PLG,APPROVAL,1.0,0.6081636405595373
AMINOCAPROIC ACID,PLG,APPROVAL,1.0,0.6081636405595373
INCB-40093,PIK3CD,PHASE_2,1.0,0.6081636405595374
DARAPLADIB,PLA2G7,PHASE_3,1.0,0.6158817620514397
STREPTOKINASE,PLG,APPROVAL,1.0,0.6158817620514397
OCIPERLIMAB,TIGIT,PHASE_3,1.0,0.6158817620514397
TIVOZANIB HYDROCHLORIDE,KDR; PDGFRB,APPROVAL,1.0,0.6228471866564954
AMBENONIUM,ACHE,APPROVAL,1.0,0.6236095644623236
DESMOTEPLASE,PLG,PHASE_3,1.0,0.6236095644623236
TRANEXAMIC ACID,PLG,APPROVAL,1.0,0.6236095644623236
VIBOSTOLIMAB,TIGIT,PHASE_3,1.0,0.6236095644623236
ANG1005,LRP1,PHASE_3,1.0,0.6236095644623236
TECHNETIUM TC 99M SUCCIMER,A2M,APPROVAL,1.0,0.6313488723371562
ANISTREPLASE,PLG,APPROVAL,1.0,0.6313488723371562
LENIOLISIB,PIK3CD,APPROVAL,1.0,0.6313488723371562
ZOLIMOMAB ARITOX,RPS27A,PHASE_2,1.0,0.6391014819458269
ONO-2952,DBI,PHASE_2,1.0,0.6391014819458269
PRI-724,CTNNB1,PHASE_2,1.0,0.639101481945827
DOMVANALIMAB,TIGIT,PHASE_3,1.0,0.639101481945827
ISOFLUROPHATE,ACHE,APPROVAL,1.0,0.639101481945827
SORAFENIB TOSYLATE,KDR; PDGFRB,APPROVAL,1.0,0.6416889479197481
NEOSTIGMINE METHYLSULFATE,ACHE,APPROVAL,1.0,0.6468691647559472
ACOTIAMIDE HYDROCHLORIDE,ACHE,APPROVAL,1.0,0.6546536707079772
AL-78898A,C3,PHASE_2,1.0,0.6546536707079772
ASP-8374,TIGIT,PHASE_1,1.0,0.6546536707079773
TELATINIB,KDR; PDGFRB,PHASE_2,1.0,0.6568293286519442
CATEQUENTINIB,KDR; PDGFRB,PHASE_3,1.0,0.6612416337794929
APROTININ,PLG,APPROVAL,1.0,0.6624567313140607
