"drug_name","targets","max_clinical_stage","real_distance","z_score"
"BMS-690514","EGFR; KDR; ERBB4","PHASE_2",0.666666666666667,-0.540571558239183
"OXTRIPHYLLINE","PDE4B; PDE3A","APPROVAL",0,-0.341660421435406
"ENSIFENTRINE","PDE4B; PDE3A","APPROVAL",0,-0.323183405842804
"IBUDILAST","PDE4B; PDE3A","APPROVAL",0,-0.296139469539158
"DYPHYLLINE","PDE4B; PDE3A","APPROVAL",0,-0.273664892008967
"AMINOPHYLLINE","PDE4B; PDE3A","APPROVAL",0,-0.263004036080537
"CILOMILAST","PDE4B","PHASE_3",0,-0.263004036080537
"PENTOXIFYLLINE","PDE4B; PDE3A","APPROVAL",0,-0.263004036080537
"THEOPHYLLINE","PDE4B; PDE3A","APPROVAL",0,-0.252013170881746
"FLAVOXATE","PDE4B","APPROVAL",0,-0.252013170881746
"OGLEMILAST","PDE4B","PHASE_2",0,-0.240645076637884
"ANAGRELIDE HYDROCHLORIDE","PDE3A","APPROVAL",0,-0.228841475813786
"DRONEDARONE HYDROCHLORIDE","HCN4","APPROVAL",0,-0.228841475813786
"APREMILAST","PDE4B","APPROVAL",0,-0.228841475813786
"CILOSTAZOL","PDE3A","APPROVAL",0,-0.228841475813786
"INAMRINONE LACTATE","PDE3A","APPROVAL",0,-0.216529020581368
"ROLIPRAM","PDE4B","PHASE_2",0,-0.216529020581368
"DIPYRIDAMOLE","PDE4B; PDE3A","APPROVAL",0,-0.216529020581368
"TRANIMILAST","PDE4B","PHASE_3",0,-0.203613195381177
"CRISABOROLE","PDE4B","APPROVAL",0,-0.203613195381177
"INAMRINONE","PDE3A","APPROVAL",0,-0.189968636626035
"MILRINONE","PDE3A","APPROVAL",0,-0.189968636626035
"ROFLUMILAST","PDE4B","APPROVAL",0,-0.189968636626035
"K-134","PDE3A","PHASE_2",0,-0.189968636626035
"TETOMILAST","PDE4B","PHASE_3",0,-0.189968636626035
"HT-0712","PDE4B","PHASE_2",0,-0.189968636626035
"ANAGRELIDE","PDE3A","APPROVAL",0,-0.189968636626035
"AMLEXANOX","PDE4B","APPROVAL",0,-0.175422905791372
"MILRINONE LACTATE","PDE3A","APPROVAL",0,-0.175422905791372
"LEVOSIMENDAN","PDE3A","APPROVAL",0,-0.175422905791372
"TOFIMILAST","PDE4B","PHASE_2",0,-0.175422905791372
"ENOXIMONE","PDE3A","APPROVAL",0,-0.175422905791372
"GSK2256294","EPHX2","PHASE_2",0,-0.175422905791372
"LOTAMILAST","PDE4B","PHASE_2",0,-0.175422905791372
"DIFAMILAST","PDE4B","PHASE_3",0,-0.175422905791372
"REVAMILAST","PDE4B","PHASE_2",0,-0.175422905791372
"MK-0873","PDE4B","PHASE_2",0,-0.175422905791372
"GSK-256066","PDE4B","PHASE_2",0,-0.175422905791372
"CTS-1027","MMP3; MMP9; MME","PHASE_2",0.666666666666667,-0.170666500510636
"DRONEDARONE","HCN4","APPROVAL",0,-0.159727331765169
"IVABRADINE HYDROCHLORIDE","HCN4","APPROVAL",0,-0.159727331765169
"DOVRAMILAST","PDE4B","PHASE_2",0,-0.159727331765169
